order_id,customer_id,product_id,location_id,order_date,ship_date,shipping_id,sales,quantity,discount,profit
CA-2016-152156,CG-12520,FUR-BO-10001798,1,2016-11-08,2016-11-11,1,261.96,2.0,0.0,41.91
CA-2016-152156,CG-12520,FUR-CH-10000454,1,2016-11-08,2016-11-11,1,731.94,3.0,0.0,219.58
CA-2016-138688,DV-13045,OFF-LA-10000240,3,2016-06-12,2016-06-16,1,14.62,2.0,0.0,6.87
US-2015-108966,SO-20335,FUR-TA-10000577,4,2015-10-11,2015-10-18,2,957.58,5.0,0.45,-383.03
US-2015-108966,SO-20335,OFF-ST-10000760,4,2015-10-11,2015-10-18,2,22.37,2.0,0.2,2.52
CA-2014-115812,BH-11710,FUR-FU-10001487,6,2014-06-09,2014-06-14,2,48.86,7.0,0.0,14.17
CA-2014-115812,BH-11710,OFF-AR-10002833,6,2014-06-09,2014-06-14,2,7.28,4.0,0.0,1.97
CA-2014-115812,BH-11710,TEC-PH-10002275,6,2014-06-09,2014-06-14,2,907.15,6.0,0.2,90.72
CA-2014-115812,BH-11710,OFF-BI-10003910,6,2014-06-09,2014-06-14,2,18.5,3.0,0.2,5.78
CA-2014-115812,BH-11710,OFF-AP-10002892,6,2014-06-09,2014-06-14,2,114.9,5.0,0.0,34.47
CA-2014-115812,BH-11710,FUR-TA-10001539,6,2014-06-09,2014-06-14,2,1706.18,9.0,0.2,85.31
CA-2014-115812,BH-11710,TEC-PH-10002033,6,2014-06-09,2014-06-14,2,911.42,4.0,0.2,68.36
CA-2017-114412,AA-10480,OFF-PA-10002365,13,2017-04-15,2017-04-20,2,15.55,3.0,0.2,5.44
CA-2016-161389,IM-15070,OFF-BI-10003656,14,2016-12-05,2016-12-10,2,407.98,3.0,0.2,132.59
US-2015-118983,HP-14815,OFF-AP-10002311,15,2015-11-22,2015-11-26,2,68.81,5.0,0.8,-123.86
US-2015-118983,HP-14815,OFF-BI-10000756,15,2015-11-22,2015-11-26,2,2.54,3.0,0.8,-3.82
CA-2014-105893,PK-19075,OFF-ST-10004186,17,2014-11-11,2014-11-18,2,665.88,6.0,0.0,13.32
CA-2014-167164,AG-10270,OFF-ST-10000107,18,2014-05-13,2014-05-15,1,55.5,2.0,0.0,9.99
